Site,SampleDate,Anpa,Epfu,Euma,Laci,Lano,Myca,Myci,Myev,Mylu,Myth,Myvo,Myyu,TreatStart,TreatEnd,Color,Intensity,LatencyDays,SiteClass,MoonPct,Yday,Year,MoonScale,YdayScale,LatencyScale,IntensityScale
AMLA1,2019-06-25,0,1,0,9,37,0,0,0,8,0,1,0,2019-06-25,2019-06-28,R,100,0,Lit,0.456359964260593,176,2019,-0.0504510728529573,-0.887906647881779,-0.179634284192607,0.667759104090182
AMLA1,2019-06-26,0,7,0,4,100,0,0,1,12,0,0,0,2019-06-25,2019-06-28,R,100,1,Lit,0.352163482477815,177,2019,-0.197824016219388,-0.865040405250438,-0.137445497847896,0.667759104090182
AMLA1,2019-06-27,0,4,0,4,102,0,0,0,8,0,1,0,2019-06-25,2019-06-28,R,100,2,Lit,0.254634427132577,178,2019,-0.335766715474237,-0.842174162619096,-0.0952567115031851,0.667759104090182
AMLA1,2019-06-28,0,4,0,6,172,0,0,0,10,0,0,0,2019-06-28,2019-07-01,W,100,0,Lit,0.168171358289093,179,2019,-0.458057955350483,-0.819307919987755,-0.179634284192607,0.667759104090182
AMLA1,2019-06-29,0,6,0,4,258,0,0,0,14,0,0,0,2019-06-28,2019-07-01,W,100,1,Lit,0.096673760058283,180,2019,-0.55918240134542,-0.796441677356413,-0.137445497847896,0.667759104090182
AMLA1,2019-06-30,0,8,0,12,170,0,0,0,22,0,0,0,2019-06-28,2019-07-01,W,100,2,Lit,0.0433661738770756,181,2019,-0.634579341288767,-0.773575434725071,-0.0952567115031851,0.667759104090182
AMLA1,2019-07-01,0,3,0,3,99,0,0,0,5,0,0,0,2019-07-01,2019-07-04,R,80,0,Lit,0.0106527717010123,182,2019,-0.680848373445408,-0.75070919209373,-0.179634284192607,-0.205157574780195
AMLA1,2019-07-02,0,36,0,4,74,0,0,0,10,0,0,0,2019-07-01,2019-07-04,R,80,1,Lit,8.92785697548248e-06,183,2019,-0.69590276462244,-0.727842949462388,-0.137445497847896,-0.205157574780195
AMLA1,2019-07-03,0,1,0,1,5,0,0,0,6,0,0,0,2019-07-01,2019-07-04,R,80,2,Lit,0.0119146796661141,184,2019,-0.679063561829001,-0.704976706831047,-0.0952567115031851,-0.205157574780195
AMLA1,2019-07-04,0,0,0,7,42,0,0,0,4,0,0,0,2019-07-04,2019-07-07,W,80,0,Lit,0.0458330777623455,185,2019,-0.631090213053783,-0.682110464199705,-0.179634284192607,-0.205157574780195
AMLA1,2019-07-05,0,2,0,9,59,0,0,0,5,0,0,0,2019-07-04,2019-07-07,W,80,1,Lit,0.100234402506832,186,2019,-0.554146316163465,-0.659244221568364,-0.137445497847896,-0.205157574780195
AMLA1,2019-07-06,0,0,0,1,69,0,0,0,2,0,0,0,2019-07-04,2019-07-07,W,80,2,Lit,0.172665154338704,187,2019,-0.451702040645989,-0.636377978937022,-0.0952567115031851,-0.205157574780195
AMLA1,2019-07-12,0,0,0,11,6,0,0,0,4,0,1,0,2019-07-10,2019-07-13,W,85,2,Lit,0.766806414819498,193,2019,0.388636758076943,-0.499180523148973,-0.0952567115031851,0.0130715949373992
AMLA1,2019-07-13,0,2,0,21,13,0,0,0,11,0,0,0,2019-07-13,2019-07-16,R,65,0,Lit,0.850084938695441,194,2019,0.506423855806358,-0.476314280517631,-0.179634284192607,-0.859845083932978
