Latitude 43.9047  longitude -110.641  elevation 6887 ft  time zone 0
Sun alt range for positions:  -90 to  5
Times in UT

   Date      Time  	 S Az	 S Alt	 M Az	 M Alt	Phase	M SD 	S Dir	S Sky	S Illm	M Dir	M Sky	M Illm	T Illm
2019-06-24 02:35:00	298.65	  4.52	 44.81	-47.40	0.623	0.244	  2696	  2507	  5204	0.0000	0.0000	0.0000	  5204
2019-06-24 02:40:00	299.48	  3.75	 46.29	-46.77	0.623	0.244	  1833	  2270	  4103	0.0000	0.0000	0.0000	  4103
2019-06-24 02:45:00	300.33	  3.00	 47.74	-46.12	0.623	0.244	  1129	  2005	  3134	0.0000	0.0000	0.0000	  3134
2019-06-24 02:50:00	301.17	  2.25	 49.15	-45.46	0.622	0.244	 601.7	  1712	  2314	0.0000	0.0000	0.0000	  2314
2019-06-24 02:55:00	302.03	  1.53	 50.54	-44.79	0.622	0.244	 255.5	  1396	  1652	0.0000	0.0000	0.0000	  1652
2019-06-24 03:00:00	302.88	  0.83	 51.89	-44.10	0.621	0.244	 72.53	  1074	  1147	0.0000	0.0000	0.0000	  1147
2019-06-24 03:05:00	303.75	  0.16	 53.22	-43.41	0.621	0.244	5.7316	 773.7	 779.4	0.0000	0.0000	0.0000	 779.4
2019-06-24 03:10:00	304.62	 -0.99	 54.52	-42.69	0.620	0.244	0.0000	 364.7	 364.7	0.0000	0.0000	0.0000	 364.7
2019-06-24 03:15:00	305.50	 -1.72	 55.80	-41.97	0.620	0.244	0.0000	 200.9	 200.9	0.0000	0.0000	0.0000	 200.9
2019-06-24 03:20:00	306.39	 -2.45	 57.05	-41.24	0.620	0.244	0.0000	 104.4	 104.4	0.0000	0.0000	0.0000	 104.4
2019-06-24 03:25:00	307.28	 -3.17	 58.27	-40.50	0.619	0.244	0.0000	 52.30	 52.30	0.0000	0.0000	0.0000	 52.30
2019-06-24 03:30:00	308.18	 -3.89	 59.48	-39.74	0.619	0.244	0.0000	 25.63	 25.63	0.0000	0.0000	0.0000	 25.63
2019-06-24 03:35:00	309.09	 -4.59	 60.66	-38.98	0.618	0.244	0.0000	 12.41	 12.41	0.0000	0.0000	0.0000	 12.42
2019-06-24 03:40:00	310.01	 -5.28	 61.81	-38.21	0.618	0.244	0.0000	5.9869	5.9869	0.0000	0.0000	0.0000	5.9874
2019-06-24 03:45:00	310.93	 -5.97	 62.95	-37.43	0.618	0.244	0.0000	2.8878	2.8878	0.0000	0.0000	0.0000	2.8883
2019-06-24 03:50:00	311.86	 -6.64	 64.07	-36.65	0.617	0.244	0.0000	1.3978	1.3978	0.0000	0.0000	0.0000	1.3983
2019-06-24 03:55:00	312.80	 -7.31	 65.17	-35.85	0.617	0.244	0.0000	0.6806	0.6806	0.0000	0.0000	0.0000	0.6811
2019-06-24 04:00:00	313.75	 -7.97	 66.25	-35.05	0.617	0.244	0.0000	0.3340	0.3340	0.0000	0.0000	0.0000	0.3345
2019-06-24 04:05:00	314.71	 -8.61	 67.31	-34.24	0.616	0.244	0.0000	0.1654	0.1654	0.0000	0.0000	0.0000	0.1659
2019-06-24 04:10:00	315.68	 -9.25	 68.35	-33.43	0.616	0.244	0.0000	0.0827	0.0827	0.0000	0.0000	0.0000	0.0832
2019-06-24 04:15:00	316.65	 -9.87	 69.38	-32.61	0.615	0.244	0.0000	0.0418	0.0418	0.0000	0.0000	0.0000	0.0423
2019-06-24 04:20:00	317.64	-10.48	 70.40	-31.78	0.615	0.244	0.0000	0.0214	0.0214	0.0000	0.0000	0.0000	0.0219
2019-06-24 04:25:00	318.63	-11.08	 71.40	-30.95	0.615	0.244	0.0000	0.0111	0.0111	0.0000	0.0000	0.0000	0.0116
2019-06-24 04:30:00	319.64	-11.67	 72.38	-30.12	0.614	0.245	0.0000	0.0058	0.0058	0.0000	0.0000	0.0000	0.0063
2019-06-24 04:35:00	320.65	-12.25	 73.36	-29.28	0.614	0.245	0.0000	0.0031	0.0031	0.0000	0.0000	0.0000	0.0036
2019-06-24 04:40:00	321.67	-12.81	 74.32	-28.43	0.614	0.245	0.0000	0.0017	0.0017	0.0000	0.0000	0.0000	0.0022
2019-06-24 04:45:00	322.70	-13.37	 75.27	-27.58	0.613	0.245	0.0000	0.0009	0.0009	0.0000	0.0000	0.0000	0.0014
2019-06-24 04:50:00	323.75	-13.91	 76.20	-26.73	0.613	0.245	0.0000	0.0005	0.0005	0.0000	0.0000	0.0000	0.0010
2019-06-24 04:55:00	324.80	-14.43	 77.13	-25.88	0.612	0.245	0.0000	0.0003	0.0003	0.0000	0.0000	0.0000	0.0008
2019-06-24 05:00:00	325.86	-14.94	 78.05	-25.02	0.612	0.245	0.0000	0.0002	0.0002	0.0000	0.0000	0.0000	0.0007
2019-06-24 05:05:00	326.93	-15.44	 78.96	-24.16	0.612	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006
2019-06-24 05:10:00	328.01	-15.93	 79.86	-23.29	0.611	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006
2019-06-24 05:15:00	329.10	-16.40	 80.75	-22.42	0.611	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 05:20:00	330.20	-16.85	 81.63	-21.55	0.611	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 05:25:00	331.30	-17.29	 82.50	-20.68	0.610	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 05:30:00	332.42	-17.72	 83.37	-19.81	0.610	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 05:35:00	333.55	-18.12	 84.24	-18.93	0.610	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 05:40:00	334.68	-18.52	 85.09	-18.06	0.609	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 05:45:00	335.83	-18.90	 85.94	-17.18	0.609	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 05:50:00	336.98	-19.26	 86.79	-16.30	0.609	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 05:55:00	338.14	-19.60	 87.63	-15.42	0.608	0.245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:00:00	339.31	-19.93	 88.47	-14.54	0.608	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:05:00	340.48	-20.24	 89.31	-13.66	0.608	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:10:00	341.66	-20.53	 90.14	-12.77	0.607	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:15:00	342.86	-20.80	 90.97	-11.89	0.607	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:20:00	344.05	-21.06	 91.80	-11.01	0.607	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:25:00	345.26	-21.30	 92.62	-10.13	0.606	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:30:00	346.46	-21.52	 93.45	 -9.25	0.606	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:35:00	347.68	-21.72	 94.27	 -8.36	0.606	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:40:00	348.90	-21.90	 95.09	 -7.48	0.605	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:45:00	350.12	-22.07	 95.92	 -6.60	0.605	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:50:00	351.35	-22.21	 96.74	 -5.73	0.605	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
2019-06-24 06:55:00	352.58	-22.34	 97.56	 -4.85	0.604	0.246	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005
